#  Guess pulse generated by entanglement.pyc
#  Blackman pulse with E0 = 425 MHz
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  3.50675337668834430E+01  6.23277076077225516E+01  0.00000000000000000E+00
  3.51675837918959502E+01  6.27519639825571787E+01  0.00000000000000000E+00
  3.52676338169084573E+01  6.31779647512070781E+01  0.00000000000000000E+00
  3.53676838419209645E+01  6.36057107785349345E+01  0.00000000000000000E+00
  3.54677338669334716E+01  6.40352028882158066E+01  0.00000000000000000E+00
  3.55677838919459788E+01  6.44664418625295923E+01  0.00000000000000000E+00
  3.56678339169584859E+01  6.48994284421545444E+01  0.00000000000000000E+00
  3.57678839419709860E+01  6.53341633259624359E+01  0.00000000000000000E+00
  3.58679339669834931E+01  6.57706471708149394E+01  0.00000000000000000E+00
  3.59679839919960003E+01  6.62088805913615630E+01  0.00000000000000000E+00
  3.60680340170085074E+01  6.66488641598386806E+01  0.00000000000000000E+00
  3.61680840420210146E+01  6.70905984058702103E+01  0.00000000000000000E+00
