# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   2.4512012012012015E+01   1.9094588979538532E-01  -9.0052611223209900E-02
   2.4587087087087088E+01   1.9544040883079586E-01  -8.9011581349771565E-02
   2.4662162162162161E+01   2.0009028347524993E-01  -8.7752456255434347E-02
   2.4737237237237242E+01   2.0489687054261699E-01  -8.6238046522224693E-02
   2.4812312312312315E+01   2.0986379970850952E-01  -8.4437529003364681E-02
   2.4887387387387388E+01   2.1499758538637506E-01  -8.2329399532183031E-02
   2.4962462462462465E+01   2.2030801769510427E-01  -7.9904214545125460E-02
   2.5037537537537538E+01   2.2580832223466224E-01  -7.7166781739805138E-02
   2.5112612612612615E+01   2.3151508217584527E-01  -7.4137418185135653E-02
   2.5187687687687692E+01   2.3744790747170325E-01  -7.0851934956686680E-02
   2.5262762762762765E+01   2.4362882450005935E-01  -6.7360145127895538E-02
   2.5337837837837839E+01   2.5008135720392999E-01  -6.3722913354892358E-02
   2.5412912912912915E+01   2.5682928848607722E-01  -6.0008027532153660E-02
   2.5487987987987989E+01   2.6389513452171454E-01  -5.6285411615999467E-02
   2.5563063063063066E+01   2.7129843393186731E-01  -5.2622343975559614E-02
   2.5638138138138142E+01   2.7905403737819445E-01  -4.9079344701188486E-02
   2.5713213213213216E+01   2.8717065769913613E-01  -4.5707234170116580E-02
   2.5788288288288289E+01   2.9564997256753700E-01  -4.2545581422626357E-02
   2.5863363363363366E+01   3.0448652686312100E-01  -3.9622438750352727E-02
   2.5938438438438439E+01   3.1366854351115175E-01  -3.6955003446171648E-02
   2.6013513513513512E+01   3.2317953693475543E-01  -3.4550745207896499E-02
   2.6088588588588589E+01   3.3300039104360080E-01  -3.2408618052281173E-02
   2.6163663663663659E+01   3.4311139995886597E-01  -3.0520194715489047E-02
   2.6238738738738736E+01   3.5349375507118447E-01  -2.8870814797358757E-02
   2.6313813813813812E+01   3.6413013111503117E-01  -2.7441001215391191E-02
   2.6388888888888886E+01   3.7500433693711988E-01  -2.6208382206325626E-02
